----------------------------------------------------------------------------------------------------
Loaded from: mnist_q.pth
----------------------------------------------------------------------------------------------------
BASELINE
Test set: Average loss: 0.0503, Accuracy: 9856/10000 (99%)
MnistNetwork(
  (conv1): Conv2d(1, 10, kernel_size=(5, 5), stride=(1, 1))
  (conv2): Conv2d(10, 20, kernel_size=(5, 5), stride=(1, 1))
  (conv2_drop): Dropout2d(p=0.5)
  (fc1): Linear(in_features=320, out_features=50, bias=True)
  (fc2): Linear(in_features=50, out_features=10, bias=True)
)
FLOPS: 935040.0
Episode: 14 | Iteration: 0 | Acc.: 0.9147 | FLOPS: 561536.0
Episode: 14 | Iteration: 1 | Acc.: 0.9022 | FLOPS: 468160.0
Episode: 14 | Iteration: 2 | Acc.: 0.8989 | FLOPS: 561536.0
Episode: 14 | Iteration: 3 | Acc.: 0.9165 | FLOPS: 374784.0
Episode: 14 | Iteration: 4 | Acc.: 0.9186 | FLOPS: 374784.0
Episode: 14 | Iteration: 5 | Acc.: 0.8166 | FLOPS: 468160.0
Episode: 14 | Iteration: 6 | Acc.: 0.3318 | FLOPS: 374784.0
Episode: 14 | Iteration: 7 | Acc.: 0.9278 | FLOPS: 561536.0
Episode: 14 | Iteration: 8 | Acc.: 0.9042 | FLOPS: 468160.0
Episode: 14 | Iteration: 9 | Acc.: 0.5551 | FLOPS: 374784.0
Episode: 15 | Iteration: 0 | Acc.: 0.4137 | FLOPS: 188032.0
Episode: 15 | Iteration: 1 | Acc.: 0.9656 | FLOPS: 561536.0
Episode: 15 | Iteration: 2 | Acc.: 0.9073 | FLOPS: 748288.0
Episode: 15 | Iteration: 3 | Acc.: 0.7289 | FLOPS: 561536.0
Episode: 15 | Iteration: 4 | Acc.: 0.7594 | FLOPS: 468160.0
Episode: 15 | Iteration: 5 | Acc.: 0.8538 | FLOPS: 374784.0
Episode: 15 | Iteration: 6 | Acc.: 0.9334 | FLOPS: 561536.0
Episode: 15 | Iteration: 7 | Acc.: 0.4859 | FLOPS: 468160.0
Episode: 15 | Iteration: 8 | Acc.: 0.8615 | FLOPS: 561536.0
Episode: 15 | Iteration: 9 | Acc.: 0.2745 | FLOPS: 374784.0
Episode: 16 | Iteration: 0 | Acc.: 0.8213 | FLOPS: 374784.0
Episode: 16 | Iteration: 1 | Acc.: 0.5851 | FLOPS: 281408.0
Episode: 16 | Iteration: 2 | Acc.: 0.8934 | FLOPS: 561536.0
Episode: 16 | Iteration: 3 | Acc.: 0.8402 | FLOPS: 468160.0
Episode: 16 | Iteration: 4 | Acc.: 0.8584 | FLOPS: 654912.0
Episode: 16 | Iteration: 5 | Acc.: 0.8837 | FLOPS: 561536.0
Episode: 16 | Iteration: 6 | Acc.: 0.5582 | FLOPS: 374784.0
Episode: 16 | Iteration: 7 | Acc.: 0.6334 | FLOPS: 374784.0
Episode: 16 | Iteration: 8 | Acc.: 0.8483 | FLOPS: 374784.0
Episode: 16 | Iteration: 9 | Acc.: 0.5913 | FLOPS: 374784.0
Episode: 17 | Iteration: 0 | Acc.: 0.9058 | FLOPS: 561536.0
Episode: 17 | Iteration: 1 | Acc.: 0.9286 | FLOPS: 654912.0
Episode: 17 | Iteration: 2 | Acc.: 0.5341 | FLOPS: 374784.0
Episode: 17 | Iteration: 3 | Acc.: 0.2899 | FLOPS: 94656.0
Episode: 17 | Iteration: 4 | Acc.: 0.481 | FLOPS: 654912.0
Episode: 17 | Iteration: 5 | Acc.: 0.6559 | FLOPS: 281408.0
Episode: 17 | Iteration: 6 | Acc.: 0.5593 | FLOPS: 468160.0
Episode: 17 | Iteration: 7 | Acc.: 0.8978 | FLOPS: 561536.0
Episode: 17 | Iteration: 8 | Acc.: 0.9114 | FLOPS: 748288.0
Episode: 17 | Iteration: 9 | Acc.: 0.5218 | FLOPS: 374784.0
Episode: 18 | Iteration: 0 | Acc.: 0.6649 | FLOPS: 374784.0
Episode: 18 | Iteration: 1 | Acc.: 0.9693 | FLOPS: 654912.0
Episode: 18 | Iteration: 2 | Acc.: 0.7725 | FLOPS: 281408.0
Episode: 18 | Iteration: 3 | Acc.: 0.8694 | FLOPS: 468160.0
Episode: 18 | Iteration: 4 | Acc.: 0.8626 | FLOPS: 468160.0
Episode: 18 | Iteration: 5 | Acc.: 0.7645 | FLOPS: 374784.0
Episode: 18 | Iteration: 6 | Acc.: 0.9243 | FLOPS: 748288.0
Episode: 18 | Iteration: 7 | Acc.: 0.9409 | FLOPS: 468160.0
Episode: 18 | Iteration: 8 | Acc.: 0.8988 | FLOPS: 374784.0
Episode: 18 | Iteration: 9 | Acc.: 0.9108 | FLOPS: 561536.0
Episode: 19 | Iteration: 0 | Acc.: 0.3568 | FLOPS: 468160.0
Episode: 19 | Iteration: 1 | Acc.: 0.5997 | FLOPS: 374784.0
Episode: 19 | Iteration: 2 | Acc.: 0.7645 | FLOPS: 374784.0
Episode: 19 | Iteration: 3 | Acc.: 0.9396 | FLOPS: 468160.0
Episode: 19 | Iteration: 4 | Acc.: 0.6939 | FLOPS: 281408.0
Episode: 19 | Iteration: 5 | Acc.: 0.4835 | FLOPS: 374784.0
Episode: 19 | Iteration: 6 | Acc.: 0.6335 | FLOPS: 374784.0
